[2026-04-02T00:33:25.876Z] GET https://stem-score.vercel.app/_next/static/media/4cf2300e9c8272f7-s.p.woff2 → 200 (1ms, ?B)
[2026-04-02T00:33:25.877Z] GET https://stem-score.vercel.app/_next/static/media/93f479601ee12b01-s.p.woff2 → 200 (?ms, ?B)
[2026-04-02T00:33:25.878Z] GET https://stem-score.vercel.app/_next/static/css/e7f8eed76c49cf01.css → 200 (1ms, 75497B)
[2026-04-02T00:33:25.879Z] GET https://stem-score.vercel.app/_next/static/chunks/webpack-97e1c63b81520385.js → 200 (?ms, 3778B)
[2026-04-02T00:33:25.880Z] GET https://stem-score.vercel.app/_next/static/chunks/4bd1b696-deb4a0a1da1923b0.js → 200 (?ms, 199869B)
[2026-04-02T00:33:25.880Z] GET https://stem-score.vercel.app/_next/static/chunks/794-2697533106efb310.js → 200 (?ms, 221956B)
[2026-04-02T00:33:25.882Z] GET https://stem-score.vercel.app/_next/static/chunks/main-app-5dcba2628ed200ee.js → 200 (?ms, 526B)
[2026-04-02T00:33:25.883Z] GET https://stem-score.vercel.app/_next/static/chunks/609-6b6cec6fcea03f4e.js → 200 (?ms, 33594B)
[2026-04-02T00:33:25.888Z] GET https://stem-score.vercel.app/_next/static/chunks/app/layout-8bc69e75b53835d0.js → 200 (?ms, 640B)
[2026-04-02T00:33:25.888Z] GET https://stem-score.vercel.app/_next/static/chunks/740-8457a0470da9fc41.js → 200 (?ms, 146342B)
[2026-04-02T00:33:25.889Z] GET https://stem-score.vercel.app/_next/static/chunks/598-a5a34cae1b9365c5.js → 200 (?ms, 9210B)
[2026-04-02T00:33:25.889Z] GET https://stem-score.vercel.app/_next/static/chunks/965-1ef32628b02861f8.js → 200 (?ms, 6910B)
[2026-04-02T00:33:25.890Z] GET https://stem-score.vercel.app/_next/static/chunks/app/admin/login/page-9aece9d5b7209660.js → 200 (?ms, 10968B)
[2026-04-02T00:33:28.043Z] POST https://stem-score.vercel.app/admin/login → 200 (569ms, 5512B)
[2026-04-02T00:33:28.619Z] GET https://stem-score.vercel.app/admin/dashboard?_rsc=1dffn → pending (?ms, ?B)
[2026-04-02T00:33:29.758Z] GET https://stem-score.vercel.app/admin/dashboard?_rsc=24kiw → 200 (213ms, ?B)
